,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
0,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98,11.12,4.3,1.41,3.38,0.0,2.67,83.0,0.07,8.0,159.0,104.0,364.0,0.4,0.029,0.002,9.7,0.0,0.027,0.163,0.099,0.557,0.046,12.0,0.0,12.0,12.0,18.4,0.43,140.0,37.0,36.0,0.0,12.0,0.0,0.0,0.0,0.08,0.1,3.0,0.0,1.718,0.778,0.123,17.0
1,"CHEESE,COTTAGE,CRMD,W/FRUIT",79.64,97,10.69,3.85,1.2,4.61,0.2,2.38,53.0,0.16,7.0,113.0,90.0,344.0,0.33,0.04,0.003,7.7,1.4,0.033,0.142,0.15,0.181,0.068,11.0,0.0,11.0,11.0,17.5,0.53,146.0,38.0,37.0,0.0,14.0,0.0,0.0,0.0,0.04,0.0,0.0,0.4,2.311,1.036,0.124,13.0
2,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",81.01,72,10.34,0.29,1.71,6.66,0.0,1.85,86.0,0.15,11.0,190.0,137.0,372.0,0.47,0.03,0.022,9.4,0.0,0.023,0.226,0.144,0.446,0.016,9.0,0.0,9.0,9.0,17.9,0.46,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.169,0.079,0.003,7.0
3,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81.24,81,10.45,2.27,1.27,4.76,0.0,4.0,111.0,0.13,9.0,150.0,125.0,308.0,0.51,0.033,0.015,11.9,0.0,0.02,0.251,0.103,0.524,0.057,8.0,0.0,8.0,8.0,16.3,0.47,225.0,68.0,68.0,0.0,6.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.235,0.516,0.083,12.0
4,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,72,12.39,1.02,1.39,2.72,0.0,2.72,61.0,0.14,5.0,134.0,86.0,406.0,0.38,0.028,0.003,9.0,0.0,0.021,0.165,0.128,0.215,0.068,12.0,0.0,12.0,12.0,17.5,0.63,41.0,11.0,11.0,0.0,3.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.645,0.291,0.031,4.0
5,"CHEESE,RICOTTA,WHOLE MILK",71.7,174,11.26,12.98,1.02,3.04,0.0,0.27,207.0,0.38,11.0,158.0,105.0,84.0,1.16,0.021,0.006,14.5,0.0,0.013,0.195,0.104,0.213,0.043,12.0,0.0,12.0,12.0,17.5,0.34,445.0,120.0,117.0,0.0,33.0,0.0,0.0,0.0,0.11,0.2,10.0,1.1,8.295,3.627,0.385,51.0
6,"CREAM,FLUID,HALF AND HALF",81.24,123,3.13,10.39,0.51,4.73,0.0,4.13,107.0,0.05,10.0,95.0,132.0,61.0,0.39,0.009,0.005,3.2,0.9,0.03,0.194,0.109,0.539,0.05,3.0,0.0,3.0,3.0,18.7,0.19,354.0,97.0,95.0,0.0,22.0,0.0,0.0,0.0,0.25,0.0,2.0,1.3,7.032,3.32,0.554,35.0
7,"CREAM,SOUR,RED FAT,CULTURED",80.14,135,2.94,12.0,0.66,4.26,0.0,0.16,104.0,0.07,10.0,95.0,129.0,89.0,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.067,0.363,0.016,11.0,0.0,11.0,11.0,19.2,0.3,372.0,102.0,100.0,0.0,23.0,0.0,0.0,0.0,0.34,0.2,9.0,0.6,7.47,3.466,0.446,39.0
8,EGGNOG,82.54,88,4.55,4.19,0.67,8.05,0.0,8.05,130.0,0.2,19.0,109.0,165.0,54.0,0.46,0.013,0.005,4.2,1.5,0.034,0.19,0.105,0.417,0.05,1.0,0.0,1.0,1.0,52.2,0.45,206.0,59.0,58.0,0.0,7.0,0.0,0.0,54.0,0.21,1.2,49.0,0.3,2.591,1.302,0.198,59.0
9,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",87.73,63,3.33,3.4,0.8,4.74,0.0,4.74,128.0,0.05,13.0,97.0,139.0,57.0,0.36,0.01,0.002,2.0,0.9,0.03,0.123,0.087,0.301,0.04,5.0,0.0,5.0,5.0,15.0,0.34,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.8,3.101,0.1,0.01,2.0
10,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",77.27,136,1.0,9.97,0.38,11.38,0.0,11.38,9.0,0.03,0.0,64.0,191.0,67.0,0.02,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.81,0.0,0.0,2.5,1.937,7.551,0.027,0.0
11,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,3.15,3.25,0.67,4.8,0.0,5.05,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,0.004,3.7,0.0,0.046,0.169,0.089,0.373,0.036,5.0,0.0,5.0,5.0,14.3,0.45,162.0,46.0,45.0,0.0,7.0,0.0,0.0,0.0,0.07,1.3,51.0,0.3,1.865,0.812,0.195,10.0
12,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.21,50,3.3,1.98,0.71,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.356,0.038,5.0,0.0,5.0,5.0,16.4,0.53,190.0,55.0,55.0,0.0,4.0,0.0,0.0,0.0,0.03,1.2,49.0,0.2,1.257,0.56,0.073,8.0
13,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.92,42,3.37,0.97,0.75,4.99,0.0,5.2,125.0,0.03,11.0,95.0,150.0,44.0,0.42,0.01,0.003,3.3,0.0,0.02,0.185,0.093,0.361,0.037,5.0,0.0,5.0,5.0,17.7,0.47,196.0,58.0,58.0,0.0,2.0,0.0,0.0,0.0,0.01,1.2,48.0,0.1,0.633,0.277,0.035,5.0
14,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0.0,5.09,122.0,0.03,11.0,101.0,156.0,42.0,0.42,0.013,0.003,3.1,0.0,0.045,0.182,0.094,0.357,0.037,5.0,0.0,5.0,5.0,15.6,0.5,204.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,1.2,47.0,0.0,0.056,0.022,0.003,2.0
15,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",90.38,37,3.57,0.25,0.78,5.02,0.0,5.02,129.0,0.05,15.0,104.0,171.0,53.0,0.41,0.011,0.002,2.2,1.0,0.041,0.175,0.091,0.339,0.046,5.0,0.0,5.0,5.0,16.0,0.39,214.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.01,1.2,49.0,0.0,0.162,0.065,0.009,2.0
16,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",90.13,40,3.31,0.88,0.89,4.79,0.0,4.79,116.0,0.05,11.0,89.0,151.0,190.0,0.42,0.011,0.002,2.0,1.0,0.034,0.154,0.058,0.275,0.034,5.0,0.0,5.0,5.0,17.7,0.22,47.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,1.0,0.1,0.548,0.254,0.033,4.0
17,"MILK,LO NA,FLUID",88.2,61,3.1,3.46,0.78,4.46,0.0,4.46,101.0,0.05,5.0,86.0,253.0,3.0,0.38,0.01,0.004,2.0,0.9,0.02,0.105,0.043,0.304,0.034,5.0,0.0,5.0,5.0,16.0,0.36,105.0,29.0,28.0,0.0,7.0,0.0,0.0,0.0,0.08,1.3,51.0,0.3,2.154,0.999,0.128,14.0
18,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",82.3,83,3.17,3.39,0.8,10.34,0.8,9.54,112.0,0.24,13.0,101.0,167.0,60.0,0.41,0.065,0.077,1.9,0.9,0.037,0.162,0.125,0.295,0.04,5.0,0.0,5.0,5.0,17.0,0.33,98.0,27.0,26.0,0.0,7.0,0.0,0.0,0.0,0.07,1.3,51.0,0.3,2.104,0.99,0.124,12.0
19,"MILK,CHOC,FLUID,COMM,RED FAT",82.17,76,2.99,1.9,0.81,12.13,0.7,9.55,109.0,0.24,14.0,102.0,169.0,66.0,0.39,0.075,0.062,3.4,0.0,0.045,0.183,0.164,0.539,0.024,2.0,0.0,2.0,2.0,17.1,0.33,227.0,64.0,63.0,0.0,11.0,0.0,0.0,0.0,0.04,1.2,49.0,0.2,1.177,0.455,0.089,8.0
20,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",84.91,62,3.46,1.0,0.78,9.86,0.1,9.94,129.0,0.23,13.0,96.0,172.0,65.0,0.43,0.028,0.03,1.9,0.4,0.031,0.247,0.124,0.43,0.047,3.0,0.0,3.0,3.0,17.0,0.23,174.0,52.0,51.0,0.0,2.0,0.0,0.0,0.0,0.0,1.1,43.0,0.1,0.584,0.541,0.095,5.0
21,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",82.45,77,3.52,2.34,0.65,10.74,1.0,9.66,114.0,0.42,23.0,105.0,197.0,44.0,0.63,0.103,0.013,2.7,0.2,0.039,0.182,0.133,0.328,0.04,5.0,0.0,5.0,5.0,15.6,0.49,176.0,51.0,51.0,0.0,4.0,0.0,0.0,0.0,0.03,1.1,45.0,0.2,1.431,0.677,0.084,8.0
22,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",87.03,69,3.56,4.14,0.82,4.45,0.0,4.45,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,0.018,1.4,1.3,0.048,0.138,0.277,0.31,0.046,1.0,0.0,1.0,1.0,16.0,0.07,198.0,57.0,56.0,0.0,7.0,0.0,0.0,0.0,0.07,1.3,51.0,0.3,2.667,1.109,0.149,11.0
23,"MILK,HUMAN,MATURE,FLUID",87.5,70,1.03,4.38,0.2,6.89,0.0,6.89,32.0,0.03,3.0,14.0,51.0,17.0,0.17,0.052,0.026,1.8,5.0,0.014,0.036,0.177,0.223,0.011,5.0,0.0,5.0,5.0,16.0,0.05,212.0,61.0,60.0,0.0,7.0,0.0,0.0,0.0,0.08,0.1,3.0,0.3,2.009,1.658,0.497,14.0
24,"MILK SHAKES,THICK CHOC",72.2,119,3.05,2.7,0.9,21.15,0.3,20.85,132.0,0.31,16.0,126.0,224.0,111.0,0.48,0.065,0.039,1.9,0.0,0.047,0.222,0.124,0.363,0.025,5.0,0.0,5.0,5.0,17.0,0.32,67.0,18.0,18.0,0.0,4.0,0.0,0.0,0.0,0.05,1.0,41.0,0.2,1.681,0.78,0.1,11.0
25,"MILK SHAKES,THICK VANILLA",74.45,112,3.86,3.03,0.91,17.75,0.0,17.75,146.0,0.1,12.0,115.0,183.0,95.0,0.39,0.051,0.014,2.3,0.0,0.03,0.195,0.146,0.368,0.042,7.0,0.0,7.0,7.0,14.3,0.52,91.0,25.0,25.0,0.0,5.0,0.0,0.0,0.0,0.05,1.2,48.0,0.2,1.886,0.875,0.113,12.0
26,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",87.9,61,3.47,3.25,0.72,4.66,0.0,4.66,121.0,0.05,12.0,95.0,155.0,46.0,0.59,0.009,0.004,2.2,0.5,0.029,0.142,0.075,0.389,0.032,7.0,0.0,7.0,7.0,15.2,0.37,99.0,27.0,27.0,0.0,5.0,0.0,0.0,0.0,0.06,0.1,2.0,0.2,2.096,0.893,0.092,13.0
27,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",85.07,63,5.25,1.55,1.09,7.04,0.0,7.04,183.0,0.08,17.0,144.0,234.0,70.0,0.89,0.013,0.004,3.3,0.8,0.044,0.214,0.114,0.591,0.049,11.0,0.0,11.0,11.0,15.2,0.56,51.0,14.0,14.0,0.0,2.0,0.0,0.0,0.0,0.03,0.0,1.0,0.2,1.0,0.426,0.044,6.0
28,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",85.23,56,5.73,0.18,1.18,7.68,0.0,7.68,199.0,0.09,19.0,157.0,255.0,77.0,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12.0,0.0,12.0,12.0,15.2,0.61,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.116,0.049,0.005,2.0
29,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79.0,85,4.93,1.25,1.02,13.8,0.0,13.8,171.0,0.07,16.0,135.0,219.0,66.0,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.2,0.53,43.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.806,0.343,0.036,5.0
30,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0.0,18.64,138.0,0.06,13.0,109.0,177.0,53.0,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9.0,0.0,9.0,9.0,15.2,0.43,40.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.742,0.316,0.033,5.0
31,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,1.02,19.05,0.0,19.05,152.0,0.07,15.0,119.0,195.0,58.0,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9.0,0.0,9.0,9.0,14.0,0.47,36.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.697,0.297,0.031,4.0
32,"EGG,WHITE,RAW,FRESH",87.57,52,10.9,0.17,0.63,0.73,0.0,0.71,7.0,0.08,11.0,15.0,163.0,166.0,0.03,0.023,0.011,20.0,0.0,0.004,0.439,0.105,0.19,0.005,4.0,0.0,4.0,4.0,1.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0.0,5.09,122.0,0.03,11.0,101.0,156.0,42.0,0.42,0.013,0.003,3.1,0.0,0.045,0.182,0.094,0.357,0.037,5.0,0.0,5.0,5.0,15.6,0.5,15.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.051,0.021,0.003,2.0
34,"EGG,WHITE,RAW,FRZ,PAST",88.17,48,10.2,0.0,0.6,1.04,0.0,0.25,8.0,0.04,11.0,13.0,169.0,169.0,0.07,0.032,0.007,9.2,0.0,0.023,0.423,0.093,0.147,0.005,10.0,0.0,10.0,10.0,2.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",89.21,50,3.3,1.98,0.71,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.356,0.038,5.0,0.0,5.0,5.0,16.4,0.53,102.0,28.0,27.0,0.0,7.0,0.0,0.0,0.0,0.03,0.0,1.0,0.2,1.257,0.56,0.073,8.0
36,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",89.92,42,3.37,0.97,0.75,4.99,0.0,5.2,125.0,0.03,11.0,95.0,150.0,44.0,0.42,0.01,0.003,3.3,0.0,0.02,0.185,0.093,0.361,0.037,5.0,0.0,5.0,5.0,17.7,0.47,47.0,14.0,13.0,0.0,2.0,0.0,0.0,0.0,0.01,0.0,1.0,0.1,0.633,0.277,0.035,5.0
37,"CREAM,HALF & HALF,FAT FREE",86.0,59,2.6,1.4,1.0,9.0,0.0,5.0,96.0,0.0,16.0,151.0,206.0,100.0,0.81,0.016,0.002,2.9,0.7,0.056,0.237,0.124,0.459,0.062,4.0,0.0,4.0,4.0,15.0,0.52,43.0,12.0,12.0,0.0,3.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.841,0.384,0.052,5.0
38,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",74.1,105,4.86,1.41,1.03,18.6,0.0,2.9,152.0,0.07,16.0,133.0,194.0,58.0,0.82,0.08,0.065,3.1,0.7,0.041,0.18,0.105,0.544,0.045,10.0,0.0,10.0,10.0,15.2,0.52,443.0,131.0,131.0,0.0,4.0,0.0,0.0,0.0,0.06,0.0,1.0,1.2,0.909,0.387,0.04,6.0
39,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",88.13,61,3.15,3.27,0.67,4.78,0.0,5.05,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,0.004,3.7,0.0,0.046,0.169,0.089,0.373,0.036,5.0,0.0,5.0,5.0,14.3,0.45,162.0,46.0,45.0,0.0,7.0,0.0,0.0,0.0,0.07,0.1,2.0,0.3,1.865,0.812,0.195,10.0
40,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",75.3,99,3.98,1.15,0.93,18.64,0.0,18.64,138.0,0.06,13.0,109.0,177.0,53.0,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9.0,0.0,9.0,9.0,15.2,0.43,40.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,0.02,1.3,52.0,0.1,0.742,0.316,0.033,5.0
41,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",74.48,102,4.37,1.08,1.02,19.05,0.0,19.05,152.0,0.07,15.0,119.0,195.0,58.0,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9.0,0.0,9.0,9.0,14.0,0.47,36.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.02,1.3,52.0,0.1,0.697,0.297,0.031,4.0
42,"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",74.1,105,4.86,1.41,1.03,18.6,0.0,2.9,152.0,0.07,16.0,133.0,194.0,58.0,0.82,0.08,0.065,3.1,0.7,0.041,0.18,0.105,0.544,0.045,10.0,0.0,10.0,10.0,15.2,0.52,443.0,131.0,131.0,0.0,4.0,0.0,0.0,0.0,0.06,1.3,52.0,1.2,0.909,0.387,0.04,6.0
43,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",79.0,85,4.93,1.25,1.02,13.8,0.0,13.8,171.0,0.07,16.0,135.0,219.0,66.0,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.2,0.53,43.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.02,1.2,47.0,0.1,0.806,0.343,0.036,5.0
44,"MILK,BTTRMLK,FLUID,WHL",87.91,62,3.21,3.31,0.68,4.88,0.0,4.88,115.0,0.03,10.0,85.0,135.0,105.0,0.38,0.025,0.004,3.7,0.0,0.047,0.172,0.09,0.38,0.036,5.0,0.0,5.0,5.0,14.6,0.46,165.0,47.0,46.0,0.0,7.0,0.0,0.0,0.0,0.07,1.3,52.0,0.3,1.899,0.827,0.198,11.0
45,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",79.0,86,4.93,1.25,1.02,13.8,0.0,5.43,171.0,0.07,16.0,135.0,219.0,66.0,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.2,0.53,43.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.752,0.313,0.035,5.0
46,ICE CRM SNDWCH,48.9,237,4.29,8.57,1.1,37.14,0.0,18.57,86.0,0.26,29.0,72.0,115.0,129.0,0.6,0.254,0.381,3.1,0.0,0.111,0.146,1.566,0.209,0.028,34.0,27.0,6.0,53.0,8.0,0.05,286.0,86.0,86.0,0.0,0.0,0.0,0.0,6.0,0.4,0.0,0.0,1.3,2.317,2.661,2.272,21.0
47,ICE CRM COOKIE SNDWCH,48.7,240,3.7,7.4,0.55,39.6,1.2,21.3,73.0,1.1,16.0,54.0,68.0,162.0,0.32,0.106,0.225,3.1,0.0,0.03,0.03,0.237,0.115,0.028,5.0,0.0,5.0,5.0,8.0,0.01,122.0,37.0,37.0,0.0,0.0,0.0,0.0,6.0,0.4,0.0,0.0,1.3,1.663,4.15,0.847,6.0
48,"YOGURT,GREEK,PLN,NONFAT",85.1,59,10.19,0.39,0.72,3.6,0.0,3.24,110.0,0.07,11.0,135.0,141.0,36.0,0.52,0.017,0.009,9.7,0.0,0.023,0.278,0.208,0.331,0.063,7.0,0.0,7.0,7.0,15.1,0.75,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.117,0.053,0.012,5.0
49,"ICE CRM,LT,SOFT SERVE,CHOC",68.92,141,3.36,3.69,0.88,23.15,0.0,19.46,134.0,0.6,36.0,113.0,207.0,64.0,0.67,0.217,0.212,2.3,0.0,0.033,0.124,0.186,0.096,0.038,17.0,12.0,5.0,26.0,10.4,0.26,336.0,91.0,90.0,0.0,5.0,0.0,0.0,2.0,0.08,0.7,26.0,0.4,2.349,1.033,0.125,15.0
50,"YOGURT,GREEK,STRAWBERRY,LOWFAT",76.81,103,8.17,2.57,0.56,11.89,1.0,11.23,88.0,0.07,10.0,109.0,129.0,33.0,0.41,0.019,0.036,9.6,0.7,0.037,0.235,0.205,0.394,0.049,9.0,0.0,9.0,9.0,14.0,0.5,111.0,31.0,30.0,0.0,7.0,0.0,0.0,7.0,0.02,0.0,0.0,0.0,1.599,0.65,0.113,12.0
51,"YOGURT,GREEK,STRAWBERRY,NONFAT",79.13,82,8.05,0.15,0.59,12.07,0.6,11.27,97.0,0.09,10.0,113.0,132.0,33.0,0.45,0.019,0.033,9.4,0.3,0.037,0.253,0.213,0.358,0.05,20.0,0.0,20.0,20.0,14.0,0.49,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.02,1.0,40.0,0.0,0.105,0.026,0.014,4.0
52,"YOGURT,GREEK,VANILLA,NONFAT",80.26,78,8.64,0.18,0.55,10.37,0.5,9.54,99.0,0.04,10.0,119.0,123.0,34.0,0.46,0.018,0.008,9.7,0.0,0.042,0.24,0.201,0.386,0.05,11.0,0.0,11.0,11.0,15.2,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9,35.0,0.1,0.133,0.039,0.009,3.0
53,"YOGURT,GREEK,PLN,LOWFAT",83.56,73,9.95,1.92,0.63,3.94,0.0,3.56,115.0,0.04,11.0,137.0,141.0,34.0,0.6,0.021,0.007,12.4,0.8,0.044,0.233,0.197,0.47,0.055,12.0,0.0,12.0,12.0,15.2,0.52,309.0,90.0,90.0,0.0,6.0,0.0,0.0,1.0,0.04,0.0,0.0,0.2,1.23,0.486,0.076,10.0
54,"MILK,CHOC,FAT FREE,W/ ADDED VIT A & VITAMIN D",82.34,67,3.39,0.0,0.81,13.46,0.0,9.32,127.0,0.27,13.0,101.0,182.0,110.0,0.41,0.075,0.062,1.9,1.0,0.045,0.166,0.164,0.302,0.024,2.0,0.0,2.0,2.0,15.6,0.32,227.0,64.0,63.0,0.0,11.0,0.0,0.0,0.0,0.04,1.1,42.0,0.2,0.0,0.0,0.0,2.0
55,"YOGURT,GREEK,PLN,WHL MILK",81.3,97,9.0,5.0,0.72,3.98,0.0,4.0,100.0,0.0,11.0,135.0,141.0,35.0,0.52,0.017,0.009,9.7,0.0,0.023,0.278,0.208,0.331,0.063,5.0,0.0,5.0,5.0,15.1,0.75,15.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.395,2.136,0.469,13.0
56,"YOGURT,GREEK,FRUIT,WHL MILK",76.81,106,7.33,3.0,0.56,12.29,0.0,12.0,100.0,0.0,10.0,109.0,113.0,37.0,0.41,0.019,0.036,9.6,0.0,0.046,0.235,0.205,0.394,0.049,5.0,0.0,5.0,5.0,14.3,0.5,162.0,46.0,45.0,0.0,7.0,0.0,0.0,7.0,0.07,0.0,0.0,0.3,1.599,1.265,0.219,10.0
57,"YOGURT,VANILLA,NON-FAT",79.0,78,2.94,0.0,1.02,17.04,0.0,5.88,118.0,0.0,16.0,88.0,141.0,47.0,0.83,0.013,0.004,4.9,0.0,0.042,0.2,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.6,0.53,204.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,35.0,0.0,0.0,0.0,0.0,3.0
58,"YOGURT,GREEK,VANILLA,LOWFAT",78.76,95,8.64,2.5,0.55,9.54,0.0,9.54,100.0,0.04,10.0,119.0,123.0,40.0,0.46,0.018,0.008,9.7,0.0,0.038,0.24,0.201,0.386,0.05,9.0,0.0,9.0,9.0,33.4,0.64,371.0,110.0,110.0,0.0,3.0,0.0,0.0,0.0,0.02,0.9,35.0,0.2,1.465,0.846,0.203,5.0
59,ICE CRM SUNDAE CONE,53.31,254,3.0,14.0,0.8,28.89,1.0,21.26,60.0,0.36,20.0,128.0,204.0,115.0,0.56,0.082,0.087,2.3,0.0,0.09,0.213,1.111,0.356,0.05,19.0,14.0,5.0,29.0,11.9,0.35,410.0,117.0,116.0,0.0,14.0,0.0,0.0,2.0,0.11,0.1,4.0,0.5,2.717,1.775,0.747,15.0
60,"LIGHT ICE CRM,CREAMSICLE",61.77,165,1.54,3.08,0.87,32.75,0.0,18.46,62.0,0.0,12.0,84.0,174.0,46.0,0.66,0.02,0.007,1.8,13.8,0.045,0.206,0.113,0.402,0.038,6.0,0.0,6.0,6.0,20.4,0.36,324.0,93.0,92.0,0.0,10.0,2.0,0.0,2.0,0.09,0.1,2.0,0.3,1.813,0.819,0.137,8.0
61,"VINEGAR,CIDER",93.81,21,0.0,0.0,0.17,0.93,0.0,0.4,7.0,0.2,5.0,8.0,73.0,5.0,0.04,0.008,0.249,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"VANILLA EXTRACT,IMITN,NO ALCOHOL",85.58,56,0.03,0.0,0.01,14.4,0.0,14.4,3.0,0.05,1.0,0.0,0.0,3.0,0.01,0.003,0.001,0.0,0.0,0.003,0.029,0.129,0.011,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
