,Unnamed: 0,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
375,375,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,PAN-FRIED",57.11,256,26.81,15.71,1.22,0.0,0.0,0.0,48.0,0.83,20.0,222.0,313.0,84.0,2.83,0.106,0.011,36.1,0.0,0.521,0.358,8.931,1.252,0.51,0.0,0.0,0.0,0.0,89.3,0.78,18.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.23,0.7,26.0,0.0,5.056,5.68,2.218,78.0
448,448,"POTATOES,BLD,CKD IN SKN,FLESH,WO/SALT",76.98,87,1.87,0.1,0.92,20.13,1.8,0.91,5.0,0.31,22.0,44.0,379.0,4.0,0.3,0.188,0.138,0.3,13.0,0.106,0.02,1.439,0.52,0.299,10.0,0.0,10.0,10.0,13.5,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.01,0.0,0.0,2.2,0.026,0.002,0.043,0.0
301,301,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",80.54,69,0.72,0.16,0.48,18.1,0.9,15.48,10.0,0.36,7.0,20.0,191.0,2.0,0.07,0.127,0.071,0.1,3.2,0.069,0.07,0.188,0.05,0.086,2.0,0.0,2.0,2.0,5.6,0.0,66.0,3.0,0.0,1.0,39.0,0.0,0.0,72.0,0.19,0.0,0.0,14.6,0.054,0.007,0.048,0.0
125,125,"BABYFOO,BAN WI MIX BERR,ST",76.68,92,1.01,0.36,0.65,21.31,1.0,15.0,0.0,0.0,23.0,20.0,283.0,0.0,0.23,0.094,0.351,0.8,18.2,0.028,0.058,0.623,0.295,0.257,20.0,0.0,20.0,20.0,8.9,0.0,51.0,3.0,0.0,20.0,20.0,0.0,0.0,47.0,0.37,0.0,0.0,6.3,0.081,0.036,0.123,0.0
361,361,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,CKD,RSTD",63.76,192,26.45,8.82,0.98,0.0,0.0,0.0,7.0,0.64,25.0,223.0,349.0,46.0,2.11,0.077,0.007,34.9,0.0,0.547,0.232,7.104,0.674,0.692,0.0,0.0,0.0,0.0,75.5,0.58,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.5,20.0,0.0,2.839,3.517,0.999,80.0
839,839,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",72.88,127,23.26,3.74,1.1,0.0,0.0,0.0,13.0,1.47,12.0,220.0,323.0,52.0,3.41,0.049,0.001,22.7,0.0,0.063,0.183,6.779,0.346,0.645,4.0,0.0,4.0,4.0,64.5,1.68,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.5,1.308,1.547,0.263,58.0
541,541,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD",61.79,203,28.61,9.18,1.16,0.0,0.0,0.0,15.0,2.69,19.0,231.0,333.0,62.0,6.0,0.085,0.008,28.7,0.0,0.08,0.268,5.794,0.552,0.566,7.0,0.0,7.0,7.0,86.9,2.63,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2.0,1.4,3.69,4.142,0.548,85.0
264,264,"APPLES,RAW,WITH SKIN",85.56,52,0.26,0.17,0.19,13.81,2.4,10.39,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,0.035,0.0,4.6,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.0,3.0,3.4,0.0,54.0,3.0,0.0,0.0,27.0,11.0,0.0,29.0,0.18,0.0,0.0,2.2,0.028,0.007,0.051,0.0
429,429,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18.0,0.4,9.0,120.0,448.0,6.0,1.1,0.5,0.142,26.0,0.0,0.095,0.49,3.8,1.5,0.11,25.0,0.0,25.0,25.0,22.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,3.0,0.0,0.014,0.002,0.042,0.0
170,170,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,CKD,RSTD",61.19,208,27.87,9.82,0.99,0.0,0.0,0.0,32.0,2.3,23.0,199.0,280.0,77.0,4.27,0.154,0.023,37.8,0.0,0.06,0.241,3.561,1.205,0.33,9.0,0.0,9.0,9.0,70.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.1,4.0,0.0,3.06,2.87,2.72,85.0
164,164,"TURKEY,WHL,MEAT ONLY,RAW",75.37,112,22.64,1.93,1.04,0.14,0.0,0.07,11.0,0.86,27.0,190.0,235.0,118.0,1.84,0.079,0.012,22.6,0.0,0.05,0.192,8.1,0.844,0.652,7.0,0.0,7.0,7.0,60.2,1.24,30.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,8.0,0.0,0.459,0.477,0.411,67.0
437,437,"ONIONS,FRZ,WHL,CKD,BLD,DRND,WO/SALT",92.24,28,0.71,0.05,0.3,6.7,1.4,2.9,27.0,0.34,8.0,2.0,101.0,8.0,0.09,0.024,0.04,0.4,5.1,0.016,0.018,0.132,0.078,0.07,13.0,0.0,13.0,13.0,4.4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.01,0.0,0.0,0.3,0.009,0.007,0.02,0.0
614,614,"BEVERAGES,MALT LIQUOR BEV",94.5,40,0.35,0.0,0.07,0.0,0.0,0.0,3.0,0.03,5.0,13.0,33.0,3.0,0.08,0.005,0.005,0.0,0.0,0.03,0.04,0.4,0.148,0.037,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,849,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",65.14,157,30.97,3.72,1.27,0.0,0.0,0.0,17.0,2.88,15.0,269.0,387.0,67.0,4.34,0.058,0.003,27.8,0.0,0.078,0.306,7.555,0.455,0.768,5.0,0.0,5.0,5.0,78.7,2.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.0,1.9,1.421,1.558,0.285,78.0
440,440,"POTATOES,FLESH & SKN,RAW",79.25,77,2.05,0.09,1.11,17.49,2.1,0.82,12.0,0.81,23.0,57.0,425.0,6.0,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15.0,0.0,15.0,15.0,12.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.01,0.0,0.0,2.0,0.025,0.002,0.042,0.0
219,219,"SOUP,CHICK MUSHROOM,CND,COND",80.4,100,1.61,4.84,1.2,11.95,3.2,0.79,23.0,0.7,7.0,22.0,56.0,669.0,0.8,0.04,0.1,2.9,0.0,0.02,0.09,1.3,0.2,0.04,2.0,0.0,2.0,2.0,11.0,0.05,33.0,9.0,8.0,0.0,3.0,0.0,0.0,1.0,0.64,0.0,0.0,1.1,1.246,2.125,1.226,8.0
915,915,"SOUP,EGG DROP,CHINESE RESTAURANT",92.87,27,1.16,0.61,1.07,4.29,0.4,0.09,7.0,0.26,2.0,15.0,22.0,370.0,0.09,0.019,0.011,0.4,6.5,0.019,0.019,0.156,0.12,0.02,7.0,0.0,7.0,7.0,33.0,0.03,89.0,20.0,18.0,1.0,16.0,1.0,0.0,48.0,0.13,0.2,6.0,1.2,0.166,0.191,0.129,23.0
212,212,"SOUP,ONION,CND,COND",86.35,46,3.06,1.42,2.49,6.68,0.7,2.72,22.0,0.55,2.0,9.0,56.0,516.0,0.5,0.1,0.2,3.5,1.0,0.027,0.02,0.49,0.0,0.04,12.0,0.0,12.0,12.0,4.0,0.0,11.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.22,0.0,0.0,0.4,0.21,0.61,0.53,0.0
9,9,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",87.73,63,3.33,3.4,0.8,4.74,0.0,4.74,128.0,0.05,13.0,97.0,139.0,57.0,0.36,0.01,0.002,2.0,0.9,0.03,0.123,0.087,0.301,0.04,5.0,0.0,5.0,5.0,15.0,0.34,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.8,3.101,0.1,0.01,2.0
384,384,"PORK,CURED,HAM,SHANK,BONE-IN,LN,HTD,RSTD",67.46,139,26.49,3.68,2.88,0.68,0.0,0.68,7.0,1.54,23.0,269.0,378.0,828.0,2.78,0.135,0.027,24.4,0.0,0.484,0.326,7.397,0.68,0.472,1.0,0.0,1.0,1.0,106.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.9,34.0,0.0,1.134,1.433,0.592,70.0
810,810,"BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,RAW",72.51,128,21.75,4.48,1.11,0.16,0.0,0.0,13.0,2.12,21.0,213.0,367.0,80.0,5.43,0.088,0.014,24.2,0.0,0.08,0.17,5.003,0.665,0.567,3.0,0.0,3.0,3.0,71.8,2.3,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.5,1.86,2.32,0.3,64.0
242,242,"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",94.16,23,0.84,0.55,0.78,3.67,0.1,0.31,2.0,0.2,3.0,12.0,13.0,229.0,0.08,0.014,0.032,3.8,0.0,0.081,0.03,0.431,0.042,0.01,7.0,6.0,1.0,11.0,4.9,0.02,11.0,1.0,0.0,1.0,5.0,0.0,0.0,8.0,0.05,0.0,0.0,1.4,0.122,0.205,0.155,4.0
581,581,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,5.0,2.0,1.0,0.07,0.05,0.018,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,278,"BLACKBERRIES,FRZ,UNSWTND",82.21,64,1.18,0.43,0.51,15.67,5.0,10.67,29.0,0.8,22.0,30.0,140.0,1.0,0.25,0.12,1.223,0.4,3.1,0.029,0.046,1.207,0.151,0.061,34.0,0.0,34.0,34.0,8.5,0.0,114.0,6.0,0.0,0.0,68.0,0.0,0.0,118.0,1.17,0.0,0.0,19.8,0.015,0.041,0.245,0.0
672,672,"SOYMILK,ORIGINAL & VANILLA,W/ ADDED CA,VITAMINS A & D",90.36,43,2.6,1.47,0.65,4.92,0.2,3.65,123.0,0.42,15.0,43.0,122.0,47.0,0.26,0.165,0.062,2.3,0.0,0.029,0.184,0.425,0.104,0.031,9.0,0.0,9.0,9.0,23.6,0.85,185.0,55.0,55.0,0.0,2.0,0.0,0.0,0.0,0.11,1.1,43.0,3.0,0.205,0.382,0.858,0.0
45,45,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",79.0,86,4.93,1.25,1.02,13.8,0.0,5.43,171.0,0.07,16.0,135.0,219.0,66.0,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11.0,0.0,11.0,11.0,15.2,0.53,43.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.02,0.0,1.0,0.1,0.752,0.313,0.035,5.0
446,446,"POTATOES,FR FR,CRNKL OR REG,SALT ADDED IN PROC,FRZ,AS PURCH",67.11,150,2.34,4.99,1.59,23.96,2.0,0.21,13.0,0.62,21.0,81.0,380.0,349.0,0.34,0.077,0.157,0.5,7.7,0.106,0.037,2.14,0.448,0.196,31.0,0.0,31.0,31.0,19.2,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.1,0.0,0.0,2.1,1.249,3.102,0.27,0.0
134,134,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED",57.53,219,30.57,9.12,1.09,1.69,0.1,0.0,17.0,1.35,27.0,205.0,257.0,91.0,2.24,0.075,0.028,24.5,0.0,0.085,0.198,9.663,1.166,0.48,7.0,0.0,7.0,7.0,91.2,0.34,59.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.46,0.1,5.0,2.8,2.46,3.35,2.15,94.0
761,761,"BUCKWHEAT GROATS,RSTD,CKD",75.63,92,3.38,0.62,0.43,19.94,2.7,0.9,7.0,0.8,51.0,70.0,88.0,4.0,0.61,0.146,0.403,2.2,0.0,0.04,0.039,0.94,0.359,0.077,14.0,0.0,14.0,14.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.09,0.0,0.0,1.9,0.134,0.188,0.188,0.0
274,274,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",81.98,68,0.16,0.17,0.21,17.49,1.2,14.67,3.0,0.12,3.0,6.0,75.0,2.0,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.044,0.027,1.0,0.0,1.0,1.0,3.3,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,18.0,0.18,0.0,0.0,0.6,0.03,0.007,0.054,0.0
889,889,"BEEF,COMP OF RTL CUTS,LN & FAT,0"" FAT,SEL,RAW",70.16,157,21.2,8.0,1.02,0.04,0.0,0.0,13.0,2.06,18.0,197.0,315.0,61.0,4.76,0.069,0.007,24.0,0.0,0.077,0.201,5.327,0.517,0.533,5.0,0.0,5.0,5.0,63.6,2.22,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,2.0,1.4,3.351,3.788,0.495,64.0
667,667,"REFRIED BNS,CND,TRADITIONAL STYLE (INCLUDES USDA COMMODITY)",77.75,90,4.98,2.01,1.71,13.55,3.7,0.54,29.0,1.44,35.0,92.0,319.0,370.0,0.58,0.129,0.289,5.8,6.0,0.076,0.079,0.367,0.189,0.103,11.0,0.0,11.0,11.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,2.1,0.631,0.601,0.543,0.0
387,387,"PORK,FRSH,SHLDR,(BSTN BUTT),BLDE (STKS),LN,W/ ADDED SOLN,RAW",74.85,122,18.29,5.36,1.32,0.18,0.0,0.0,14.0,1.04,19.0,223.0,419.0,165.0,3.1,0.125,0.01,28.8,0.0,0.512,0.367,3.837,1.531,0.509,0.0,0.0,0.0,0.0,76.9,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.5,21.0,0.0,1.873,2.329,0.581,59.0
328,328,"RASPBERRIES,FRZ,RED,SWTND",72.75,103,0.7,0.16,0.24,26.16,4.4,21.76,15.0,0.65,13.0,17.0,114.0,1.0,0.18,0.105,0.65,0.3,16.5,0.019,0.045,0.23,0.15,0.034,26.0,0.0,26.0,26.0,10.2,0.0,60.0,3.0,0.0,29.0,21.0,0.0,0.0,113.0,0.72,0.0,0.0,6.5,0.005,0.015,0.089,0.0
641,641,"BEVERAGES,FRUIT JUC DRK,RED SUGAR,W/ VITAMIN E ADDED",87.58,39,0.0,0.07,2.35,10.0,0.0,9.0,5.0,0.04,2.0,1.0,11.0,2.0,0.02,0.0,0.011,0.2,0.0,0.0,0.0,0.015,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.008,0.012,0.014,0.0
257,257,"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",87.5,52,0.9,0.1,0.1,11.4,0.1,0.04,1.0,3.96,3.0,17.0,20.0,1.0,0.16,0.034,0.144,3.0,0.0,0.071,0.018,1.039,0.076,0.027,3.0,0.0,3.0,3.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.027,0.031,0.027,0.0
490,490,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",67.17,123,6.81,0.32,2.06,23.64,5.3,1.63,32.0,2.45,74.0,130.0,570.0,253.0,0.79,0.305,1.252,2.0,10.1,0.14,0.096,1.04,0.257,0.193,26.0,0.0,26.0,26.0,44.1,0.0,370.0,19.0,0.0,0.0,222.0,0.0,0.0,0.0,0.14,0.0,0.0,6.2,0.073,0.019,0.154,0.0
342,342,"PORK,FRSH,LEG (HAM),SHANK HALF,LN,RAW",74.88,119,21.66,2.95,1.11,0.0,0.0,0.0,12.0,0.77,21.0,224.0,329.0,90.0,2.25,0.142,0.026,21.3,0.0,0.522,0.343,6.273,0.622,0.531,0.0,0.0,0.0,0.0,74.4,0.51,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.29,0.3,11.0,0.0,0.917,1.214,0.605,66.0
207,207,"SOUP,CHICK BROTH,CND,COND",91.96,31,4.42,1.04,1.83,0.75,0.0,0.35,6.0,0.41,2.0,60.0,170.0,621.0,0.2,0.1,0.2,2.3,0.0,0.006,0.046,2.23,0.04,0.02,4.0,0.0,4.0,4.0,9.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.31,0.47,0.22,1.0
503,503,"OKRA,CKD,BLD,DRND,W/SALT",92.57,22,1.87,0.21,0.84,4.51,2.5,2.4,77.0,0.28,36.0,32.0,135.0,241.0,0.43,0.085,0.294,0.4,16.3,0.132,0.055,0.871,0.213,0.187,46.0,0.0,46.0,46.0,9.3,0.0,283.0,14.0,0.0,0.0,170.0,0.0,0.0,390.0,0.27,0.0,0.0,40.0,0.045,0.028,0.046,0.0
496,496,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",91.42,28,1.49,0.17,0.47,6.45,3.0,1.88,42.0,0.66,19.0,29.0,159.0,245.0,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23.0,0.0,23.0,23.0,13.5,0.0,466.0,23.0,0.0,61.0,249.0,0.0,0.0,564.0,0.04,0.0,0.0,38.1,0.044,0.008,0.083,0.0
306,306,"LOGANBERRIES,FROZEN",84.61,55,1.52,0.31,0.54,13.02,5.3,7.7,26.0,0.64,21.0,26.0,145.0,1.0,0.34,0.117,1.247,0.2,15.3,0.05,0.034,0.84,0.244,0.065,26.0,0.0,26.0,26.0,8.5,0.0,35.0,2.0,0.0,0.0,21.0,0.0,0.0,118.0,0.87,0.0,0.0,7.8,0.011,0.03,0.176,0.0
636,636,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",63.9,250,0.0,0.0,0.01,0.1,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,702,"GAME MEAT,DEER,GROUND,CKD,PAN-BROILED",64.23,187,26.45,8.22,1.07,0.0,0.0,0.0,14.0,3.35,24.0,228.0,364.0,78.0,5.2,0.1,0.013,10.3,0.0,0.503,0.327,9.257,0.76,0.468,8.0,0.0,8.0,8.0,101.9,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.4,3.993,1.939,0.444,98.0
778,778,"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",37.93,338,13.28,20.67,2.83,25.28,0.5,1.98,210.0,3.14,21.0,168.0,179.0,668.0,1.19,0.252,0.284,25.3,0.0,0.481,0.197,4.217,0.696,0.086,51.0,34.0,17.0,75.0,29.8,0.79,219.0,56.0,55.0,0.0,22.0,0.0,0.0,22.0,0.58,0.4,17.0,2.2,8.152,7.905,3.115,43.0
833,833,"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",72.35,127,23.49,3.66,1.12,0.0,0.0,0.0,13.0,2.35,12.0,220.0,307.0,56.0,3.76,0.048,0.004,21.8,0.0,0.064,0.225,6.635,0.349,0.639,4.0,0.0,4.0,4.0,65.1,1.65,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.424,1.678,0.247,62.0
803,803,"BEEF,CORNED BF HASH,W/ POTATO,CND",70.32,164,8.73,10.24,1.5,9.27,1.1,0.34,19.0,1.0,13.0,56.0,172.0,412.0,1.4,0.0,0.084,7.5,0.9,0.069,0.05,1.572,0.403,0.231,7.0,0.0,7.0,7.0,15.6,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.04,0.0,0.0,1.8,4.32,5.26,0.3,32.0
601,601,"BEVERAGES,COFFEE,READY TO DRK,MILK BSD,SWTND",83.56,71,1.98,1.38,0.47,12.6,0.0,10.67,74.0,0.04,9.0,59.0,175.0,26.0,0.26,0.002,0.012,0.0,0.0,0.043,0.193,1.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.1,0.0,0.293,0.038,5.0
388,388,"PORK,FRSH,LOIN,TP LN (CHPS),BNLSS,LN & FT,W/ ADDED SLN,RAW",68.65,171,19.45,10.26,1.55,0.0,0.0,0.0,9.0,0.42,21.0,244.0,489.0,251.0,1.22,0.049,0.01,42.8,0.0,0.475,0.195,7.178,0.731,0.467,0.0,0.0,0.0,0.0,53.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,12.0,0.0,2.53,5.801,1.925,56.0
666,666,"BEANS,NAVY,MATURE SEEDS,CND",70.45,113,7.53,0.43,1.14,20.45,5.1,0.28,47.0,1.85,47.0,134.0,288.0,336.0,0.77,0.208,0.375,5.8,0.7,0.141,0.055,0.487,0.172,0.103,62.0,0.0,62.0,62.0,26.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,2.9,0.112,0.038,0.186,0.0
830,830,"BEEF,PLATE STEK,BNLS,INSDE SKRT,LN & FAT,0"" FAT,ALL GRDS,RW",67.25,187,20.38,11.71,0.92,0.0,0.0,0.0,6.0,1.71,20.0,145.0,262.0,64.0,5.99,0.085,0.085,22.2,0.0,0.055,0.289,5.241,0.594,0.421,3.0,0.0,3.0,3.0,44.4,2.31,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,4.0,1.5,4.626,5.431,0.548,65.0
