,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
470,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",95,16,1.03,0.17,0.5,3.3,1.9,1.5,15,0.33,19,28,140,1,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21,0,21,21,6.2,0,85,4,0,0,51,0,0,250,0.12,0,0,3.5,0.035,0.013,0.072,0,2
471,"SQUASH,WNTR,SPAGHETTI,RAW",91.6,31,0.64,0.57,0.28,6.91,1.5,2.76,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12,0,12,12,8.2,0,120,6,0,16,64,0,0,0,0.13,0,0,0.9,0.117,0.042,0.239,0,0
472,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",92.3,27,0.66,0.26,0.32,6.46,1.4,2.53,21,0.34,11,14,117,18,0.2,0.035,0.109,0.3,3.5,0.038,0.022,0.81,0.355,0.099,8,0,8,8,7.5,0,110,6,0,15,59,0,0,0,0.12,0,0,0.8,0.062,0.022,0.126,0,0
473,"TARO,RAW",70.64,112,1.5,0.2,1.2,26.46,4.1,0.4,43,0.55,33,84,591,11,0.23,0.172,0.383,0.7,4.5,0.095,0.025,0.6,0.303,0.283,22,0,22,22,17.3,0,76,4,0,0,35,20,0,0,2.38,0,0,1,0.041,0.016,0.083,0,0
474,"TARO,COOKED,WITHOUT SALT",63.8,142,0.52,0.11,0.97,34.6,5.1,0.49,18,0.72,30,76,484,15,0.27,0.201,0.449,0.9,5,0.107,0.028,0.51,0.336,0.331,19,0,19,19,21.3,0,84,4,0,0,39,22,0,0,2.93,0,0,1.2,0.023,0.009,0.046,0,0
475,"TOMATOES,GREEN,RAW",93,23,1.2,0.2,0.5,5.1,1.1,4,13,0.51,10,28,204,13,0.07,0.09,0.1,0.4,23.4,0.06,0.04,0.5,0.5,0.081,9,0,9,9,8.6,0,642,32,0,78,346,0,0,0,0.38,0,0,10.1,0.028,0.03,0.081,0,2
476,"TURNIPS,RAW",91.87,28,0.9,0.1,0.7,6.43,1.8,3.8,30,0.3,11,27,191,67,0.27,0.085,0.134,0.7,21,0.04,0.03,0.4,0.2,0.09,15,0,15,15,11.1,0,0,0,0,0,0,0,0,0,0.03,0,0,0.1,0.011,0.006,0.053,0,0
477,"TURNIPS,CKD,BLD,DRND,WO/SALT",93.6,22,0.71,0.08,0.55,5.06,2,2.99,33,0.18,9,26,177,16,0.12,0.002,0.071,0.2,11.6,0.027,0.023,0.299,0.142,0.067,9,0,9,9,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.008,0.005,0.042,0,0
478,"TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",93.6,23,1.53,0.24,0.28,4.35,2,2.35,32,0.98,14,26,182,36,0.2,0.063,0.1,0.6,3.9,0.035,0.028,0.56,0.141,0.067,8,0,8,8,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.025,0.015,0.125,0,0
479,"WATERCHESTNUTS,CHINESE,(MATAI),RAW",73.46,97,1.4,0.1,1.1,23.94,3,4.8,11,0.06,22,63,584,14,0.5,0.326,0.331,0.7,4,0.14,0.2,1,0.479,0.328,16,0,16,16,36.2,0,0,0,0,0,0,0,0,0,1.2,0,0,0.3,0.026,0.002,0.043,0,0
480,"WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS",86.42,50,0.88,0.06,0.34,12.3,2.5,2.46,4,0.87,5,19,118,8,0.38,0.1,0.161,0.7,1.3,0.011,0.024,0.36,0.221,0.159,6,0,6,6,18.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0.016,0.001,0.026,0,0
481,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT",96.06,14,0.4,0.2,0.3,3.04,1,1.18,18,0.38,10,17,5,107,0.59,0.022,0.056,0.2,10.5,0.034,0.001,0.384,0.121,0.032,4,0,4,4,4.9,0,0,0,0,0,0,0,0,197,0.08,0,0,2.8,0.016,0.037,0.088,0,2
482,"YAM,RAW",69.6,118,1.53,0.17,0.82,27.88,4.1,0.5,17,0.54,21,55,816,9,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23,0,23,23,16.5,0,138,7,0,0,83,0,0,0,0.35,0,0,2.3,0.037,0.006,0.076,0,2
483,"YAM,CKD,BLD,DRND,OR BKD,WO/SALT",70.13,116,1.49,0.14,0.76,27.48,3.9,0.49,14,0.52,18,49,670,8,0.2,0.152,0.371,0.7,12.1,0.095,0.028,0.552,0.311,0.228,16,0,16,16,16.2,0,122,6,0,0,73,0,0,0,0.34,0,0,2.3,0.029,0.005,0.06,0,2
484,"YAMBEAN (JICAMA),RAW",90.07,38,0.72,0.09,0.3,8.82,4.9,1.8,12,0.6,12,18,150,4,0.16,0.048,0.06,0.7,20.2,0.02,0.029,0.2,0.135,0.042,12,0,12,12,13.6,0,21,1,0,0,13,0,0,0,0.46,0,0,0.3,0.021,0.005,0.043,0,0
485,"BEETS,PICKLED,CND,SOL&LIQUIDS",81.88,65,0.8,0.08,0.96,16.28,0.8,11.05,11,0.41,15,17,115,149,0.26,0.116,0.22,1,2.3,0.01,0.048,0.251,0.137,0.05,27,0,27,27,15,0,49,2,0,0,29,0,0,0,0.06,0,0,0.3,0.013,0.016,0.029,0,2
486,"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",96.1,12,1.4,0.06,0.3,2.14,0.8,0.7,14,0.43,9,32,27,42,0.28,0.157,0.073,0.6,0.3,0.03,0.07,0.22,0.143,0.032,10,0,10,10,7.8,0,8,0,0,2,2,2,0,0,0.04,0,0,13.4,0.016,0.008,0.02,0,0
487,"POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED",78.48,83,1.91,0.57,1.46,17.57,1.5,1.48,24,0.27,18,46,296,302,0.28,0.145,0.119,0.8,6.2,0.089,0.041,1.118,0.485,0.232,8,0,8,8,13.3,0.07,27,7,7,0,2,0,0,8,0.02,0.2,8,1.8,0.302,0.124,0.065,2,2
488,"POTATOES,BKD,FLESH & SKN,WO/ SALT",74.89,93,2.5,0.13,1.33,21.15,2.2,1.18,15,1.08,28,70,535,10,0.36,0.118,0.219,0.4,9.6,0.064,0.048,1.41,0.376,0.311,28,0,28,28,14.8,0,10,1,0,0,6,0,0,30,0.04,0,0,2,0.034,0.003,0.057,0,0
489,"SHALLOTS,RAW",79.8,72,2.5,0.1,0.8,16.8,3.2,7.87,37,1.2,21,60,334,12,0.4,0.088,0.292,1.2,8,0.06,0.02,0.2,0.29,0.345,34,0,34,34,11.3,0,4,0,0,0,3,0,0,8,0.04,0,0,0.8,0.017,0.014,0.039,0,0
490,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",67.17,123,6.81,0.32,2.06,23.64,5.3,1.63,32,2.45,74,130,570,253,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,26,26,44.1,0,370,19,0,0,222,0,0,0,0.14,0,0,6.2,0.073,0.019,0.154,0,2
491,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",81.17,71,4.07,0.29,1.14,13.33,3.6,0.93,28,1.61,34,71,285,4,0.64,0.162,0.7,1.1,8.7,0.029,0.043,0.532,0.095,0.062,16,0,16,16,25.3,0,150,8,0,0,90,0,0,0,0.29,0,0,3.6,0.066,0.016,0.139,0,0
492,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT",72.35,105,6.65,0.3,1.25,19.45,4.8,1.37,28,1.96,56,112,411,265,0.55,0.197,0.813,1.7,5.8,0.07,0.055,0.77,0.177,0.115,16,0,16,16,37.2,0,167,8,0,0,100,0,0,0,0.64,0,0,5.2,0.068,0.017,0.145,0,2
493,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",93.39,19,2.03,0.09,0.89,3.6,0.8,2.84,12,0.65,14,28,101,246,0.47,0.122,0.14,0.6,11.4,0.05,0.102,0.817,0.243,0.054,29,0,29,29,9.9,0,13,1,0,4,4,4,0,0,0.07,0,0,22.7,0.025,0.012,0.032,0,2
494,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",94.68,15,0.8,0.1,0.92,3.5,1.5,0.62,24,0.9,13,19,98,259,0.2,0.07,0.335,0.2,3.4,0.025,0.051,0.2,0.106,0.03,18,0,18,18,11.8,0,83,4,0,0,50,0,0,363,0.03,0,0,31.2,0.023,0.004,0.052,0,2
495,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",94.68,15,0.8,0.1,0.92,3.5,1.5,0.62,24,0.9,13,19,98,14,0.2,0.07,0.335,0.2,4,0.025,0.051,0.2,0.106,0.03,18,0,18,18,8.3,0,83,4,0,0,50,0,0,363,0.23,0,0,31.2,0.023,0.004,0.052,0,2
496,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,42,0.66,19,29,159,245,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,466,23,0,61,249,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,2
497,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,49,0.88,24,31,126,9,0.48,0.061,0.323,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,112,6,0,15,60,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,2
498,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,49,0.88,24,31,126,245,0.48,0.061,0.323,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,112,6,0,15,60,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,2
499,"BEETS,CND,NO SALT,SOL&LIQUIDS",91.62,28,0.8,0.07,0.94,6.57,1.2,5.38,13,0.63,16,16,142,21,0.23,0.097,0.241,0.5,2.8,0.01,0.038,0.151,0.15,0.055,29,0,29,29,6.9,0,22,1,0,0,13,0,0,0,0.03,0,0,0.1,0.011,0.013,0.025,0,0
500,"CELERY,CKD,BLD,DRND,W/SALT",94.11,18,0.83,0.16,0.9,4,1.6,2.37,42,0.42,12,25,284,327,0.14,0.036,0.106,1,6.1,0.043,0.047,0.319,0.195,0.086,22,0,22,22,7.9,0,521,26,0,0,313,0,0,329,0.35,0,0,37.8,0.04,0.03,0.075,0,2
501,"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",93.43,22,0.62,0.48,0.97,4.5,2.8,1.89,13,0.22,12,29,173,237,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,18,18,10.5,0,0,0,0,0,0,0,0,0,0.14,0,0,4.7,0.031,0.01,0.065,0,2
502,"EGGPLANT,CKD,BLD,DRND,W/SALT",89.67,33,0.83,0.23,1.13,8.14,2.5,3.2,6,0.25,11,15,123,239,0.12,0.059,0.113,0.1,1.3,0.076,0.02,0.6,0.075,0.086,14,0,14,14,9.4,0,37,2,0,0,22,0,0,0,0.41,0,0,2.9,0.044,0.02,0.093,0,2
503,"OKRA,CKD,BLD,DRND,W/SALT",92.57,22,1.87,0.21,0.84,4.51,2.5,2.4,77,0.28,36,32,135,241,0.43,0.085,0.294,0.4,16.3,0.132,0.055,0.871,0.213,0.187,46,0,46,46,9.3,0,283,14,0,0,170,0,0,390,0.27,0,0,40,0.045,0.028,0.046,0,2
504,"ONIONS,CKD,BLD,DRND,W/SALT",87.86,42,1.36,0.19,1.03,9.56,1.4,4.73,22,0.24,11,35,166,239,0.21,0.067,0.153,0.6,5.2,0.042,0.023,0.165,0.113,0.129,15,0,15,15,6.8,0,2,0,0,0,1,0,0,4,0.02,0,0,0.5,0.031,0.027,0.073,0,2
505,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",92.24,26,0.77,0.1,0.89,6,1.7,2.9,16,0.3,6,19,108,248,0.07,0.019,0.071,0.4,2.6,0.023,0.025,0.139,0.099,0.069,13,0,13,13,4.4,0,2,0,0,0,1,0,0,3,0.01,0,0,0.3,0.016,0.013,0.038,0,2
506,"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",92.24,26,0.71,0.05,0.89,6.11,1.4,2.9,27,0.34,8,2,101,244,0.09,0.024,0.04,0.4,5.1,0.016,0.018,0.132,0.078,0.07,13,0,13,13,4.4,0,2,0,0,0,1,0,0,3,0.01,0,0,0.3,0.009,0.007,0.02,0,2
507,"PARSNIPS,CKD,BLD,DRND,W/SALT",80.24,71,1.32,0.3,1.13,17.01,4,4.8,37,0.58,29,69,367,246,0.26,0.138,0.294,1.7,13,0.083,0.051,0.724,0.588,0.093,58,0,58,58,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0.05,0.112,0.047,0,2
508,"POTATOES,BKD,FLESH,W/SALT",75.42,93,1.96,0.1,0.97,21.55,1.5,1.7,5,0.35,25,50,391,241,0.29,0.215,0.161,0.3,12.8,0.105,0.021,1.395,0.555,0.301,9,0,9,9,14.5,0,0,0,0,0,0,0,0,0,0.04,0,0,0.3,0.026,0.002,0.043,0,2
509,"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT",76.98,87,1.87,0.1,0.92,20.13,2,0.91,5,0.31,22,44,379,240,0.3,0.188,0.138,0.3,13,0.106,0.02,1.439,0.52,0.299,10,0,10,10,13.5,0,3,0,0,0,2,0,0,10,0.05,0,0,2.2,0.026,0.002,0.043,0,2
510,"POTATOES,BLD,CKD WO/ SKN,FLESH,W/ SALT",77.46,86,1.71,0.1,0.72,20.01,2,0.89,8,0.31,20,40,328,241,0.27,0.167,0.14,0.3,7.4,0.098,0.019,1.312,0.509,0.269,9,0,9,9,13.2,0,2,0,0,0,1,0,0,9,0.01,0,0,2.2,0.026,0.002,0.043,0,2
511,"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT",95.04,17,0.67,0.24,0.62,3.43,1.6,1.83,17,0.15,9,24,285,249,0.13,0.101,0.033,0.7,15.1,0,0.023,0.15,0.114,0.038,17,0,17,17,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.073,0.04,0.108,0,2
512,"RUTABAGAS,CKD,BLD,DRND,W/SALT",91.54,30,0.93,0.18,0.51,6.84,1.8,3.95,18,0.18,10,41,216,254,0.12,0.029,0.097,0.7,18.8,0.082,0.041,0.715,0.155,0.102,15,0,15,15,15.2,0,2,0,0,0,1,0,10,13,0.24,0,0,0.2,0.029,0.027,0.095,0,2
513,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT",94.25,19,1.04,0.39,0.53,3.79,1.1,2.48,22,0.37,16,29,177,237,0.22,0.065,0.157,0.2,11.6,0.043,0.025,0.507,0.323,0.078,23,0,23,23,7.9,0,1117,56,0,0,670,0,0,315,0.12,0,0,4.4,0.064,0.023,0.131,0,2
514,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,W/SALT",92.24,25,1.28,0.2,0.74,5.54,1.4,2.33,20,0.52,27,41,253,242,0.34,0.073,0.263,0.3,6.8,0.036,0.047,0.44,0.102,0.099,13,0,13,13,9.7,0,201,10,0,0,120,0,0,388,0.15,0,0,5.4,0.04,0.015,0.082,0,2
515,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",95,16,1.03,0.17,0.5,3.3,1.9,1.5,15,0.33,19,28,140,237,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21,0,21,21,6.2,0,85,4,0,0,51,0,0,250,0.12,0,0,3.5,0.035,0.013,0.072,0,2
516,"TARO,COOKED,WITH SALT",63.8,142,0.52,0.11,0.97,34.6,5.1,0.49,18,0.72,30,76,484,251,0.27,0.201,0.449,0.9,5,0.107,0.028,0.51,0.336,0.331,19,0,19,19,21.3,0,84,4,0,0,39,22,0,0,2.93,0,0,1.2,0.023,0.009,0.046,0,2
517,"TURNIPS,CKD,BLD,DRND,W/SALT",93.6,22,0.71,0.08,0.55,5.06,2,2.99,22,0.22,8,19,135,286,0.2,0.064,0.1,0.6,11.6,0.027,0.023,0.299,0.142,0.067,9,0,9,9,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.008,0.005,0.042,0,2
518,"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",93.6,21,1.53,0.24,0.9,3.73,2,1.73,32,0.98,14,26,182,272,0.2,0.063,0.1,0.6,3.9,0.035,0.028,0.56,0.141,0.067,8,0,8,8,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.025,0.015,0.125,0,2
519,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",96.06,11,0.4,0.2,0.89,2.45,1,1.18,18,0.38,10,17,5,343,0.59,0.022,0.056,0.2,10.5,0.034,0.001,0.384,0.121,0.032,4,0,4,4,4.9,0,0,0,0,0,0,0,0,197,0.08,0,0,2.8,0.016,0.037,0.088,0,2
520,"YAM,CKD,BLD,DRND,OR BKD,W/SALT",70.13,114,1.49,0.14,1.25,26.99,3.9,0.49,14,0.52,18,49,670,244,0.2,0.152,0.371,0.7,12.1,0.095,0.028,0.552,0.311,0.228,16,0,16,16,16.2,0,122,6,0,0,73,0,0,0,0.34,0,0,2.3,0.029,0.005,0.06,0,2
521,"CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT",72.84,97,3.34,1.41,0.7,21.71,2.7,7.73,2,0.55,31,92,252,3,0.54,0.057,0.214,0.8,6.2,0.09,0.053,1.666,0.749,0.127,20,0,20,20,29.1,0,2,0,0,0,1,0,0,43,0.09,0,0,0.4,0.197,0.374,0.603,0,0
522,"CORN,SWT,WHITE,CKD,BLD,DRND,W/SALT",72.84,97,3.34,1.41,0.7,21.71,2.7,7.73,2,0.55,31,92,252,253,0.54,0.057,0.214,0.8,6.2,0.09,0.053,1.666,0.749,0.127,20,0,20,20,29.1,0,2,0,0,0,1,0,0,43,0.09,0,0,0.4,0.197,0.374,0.603,0,2
523,"CORN,SWT,WHITE,CND,WHL KERNEL,DRND SOL",80.38,71,2.32,1.37,0.86,15.06,2.3,2.42,3,0.28,13,46,142,185,0.31,0.031,0.066,0.7,2.1,0.015,0.016,0.883,0.355,0.065,36,0,36,36,16.3,0,1,0,0,0,1,1,0,40,0.07,0,0,0,0.161,0.223,0.415,0,2
524,"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",78.24,74,1.74,0.42,0.98,18.62,1.2,6.09,4,0.31,15,40,119,261,0.56,0.022,0.068,0.4,4.6,0.025,0.053,0.96,0.18,0.063,45,0,45,45,20.3,0,2,0,0,0,1,1,0,44,0.07,0,0,0,0.065,0.123,0.199,0,2
525,"CORN,SWT,WHITE,CND,CRM STYLE,NO SALT",78.73,72,1.74,0.42,0.98,18.13,1.2,2.21,3,0.38,17,51,134,3,0.53,0.052,0.039,0.6,4.6,0.025,0.053,0.96,0.18,0.063,45,0,45,45,20.3,0,1,0,0,0,0,1,0,37,0.06,0,0,0.3,0.065,0.123,0.198,0,0
526,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",76.73,80,2.75,0.43,0.53,19.56,2.4,3.12,4,0.35,19,57,147,5,0.4,0.037,0.127,0.7,3.1,0.083,0.071,1.299,0.18,0.129,31,0,31,31,22,0,3,0,0,0,1,1,0,50,0.07,0,0,0.3,0.066,0.126,0.203,0,0
527,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT",76.73,80,2.75,0.43,0.53,19.56,2.4,3.12,4,0.35,19,57,147,245,0.4,0.037,0.127,0.7,3.1,0.083,0.071,1.299,0.18,0.129,31,0,31,31,22,0,3,0,0,0,1,1,0,50,0.07,0,0,0.3,0.066,0.126,0.203,0,2
528,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",93.3,20,1.15,0.1,0.95,4.5,1.3,0.78,26,0.9,13,19,109,251,0.29,0.038,0.2,0.4,4.8,0.015,0.056,0.201,0.129,0.037,32,0,32,32,10.5,0,105,5,0,0,63,0,0,458,0.29,0,0,39.3,0.022,0.004,0.051,0,2
529,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",75.61,113,1.86,4.22,1.5,16.81,1.5,1.43,24,0.26,18,45,284,317,0.27,0.138,0.114,0.8,6,0.086,0.041,1.072,0.468,0.222,8,0,8,8,13.5,0.07,138,38,37,0,9,0,0,7,0.12,0.2,10,2,2.613,1.07,0.199,11,2
530,"TOMATILLOS,RAW",91.63,32,0.96,1.02,0.55,5.84,1.9,3.93,7,0.62,20,39,268,1,0.22,0.079,0.153,0.5,11.7,0.044,0.035,1.85,0.15,0.056,7,0,7,7,7.6,0,114,6,0,10,63,0,0,467,0.38,0,0,10.1,0.139,0.155,0.417,0,2
531,"NOPALES,RAW",94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164,0.59,52,16,257,21,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3,0,3,3,7.3,0,457,23,0,48,250,0,0,0,0,0,0,5.3,0.016,0.018,0.05,0,2
532,"NOPALES,CKD,WO/SALT",94.31,15,1.35,0.05,1.01,3.28,2,1.12,164,0.5,47,16,195,20,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3,0,3,3,7.1,0,443,22,0,47,242,0,0,0,0,0,0,5.1,0.006,0.007,0.021,0,2
533,"MUSHROOMS,OYSTER,RAW",89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3,1.33,18,120,420,18,0.77,0.244,0.113,2.6,0,0.125,0.349,4.956,1.294,0.11,38,0,38,38,48.7,0,48,2,0,0,29,0,0,0,0,0.7,29,0,0.062,0.031,0.123,0,0
534,COCONUT H2O (LIQ FROM COCONUTS),94.99,19,0.72,0.2,0.39,3.71,1.1,2.61,24,0.29,25,20,250,105,0.1,0.04,0.142,1,2.4,0.03,0.057,0.08,0.043,0.032,3,0,3,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.008,0.002,0,0
535,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",69.46,165,21.22,8.29,1.02,0,0,0,27,1.55,22,193,330,54,3.81,0.071,0.013,23.3,0,0.056,0.09,6.842,0.619,0.571,12,0,12,12,88.6,1.18,0,0,0,0,0,0,0,0,0.33,0.1,4,1.3,3.443,3.38,0.335,68,1
536,"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW",68.72,149,21.72,6.29,0.99,0,0,0,28,1.62,23,204,340,57,4.12,0.072,0.014,25.4,0,0.06,0.106,7.353,0.647,0.596,13,0,13,13,90.7,1.18,0,0,0,0,0,0,0,0,0.31,0.1,3,1.2,2.612,2.477,0.259,69,1
537,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,CHOIC,RAW",69.97,160,22.1,7.27,1,0,0,0,21,1.65,11,196,263,35,3.86,0.061,0.003,22.5,0,0.051,0.225,5.765,0.347,0.634,4,0,4,4,54.3,1.79,0,0,0,0,0,0,0,0,0.28,0.1,3,1.3,2.782,3.091,0.374,59,1
538,"BEEF,SHRT LN,T-BONE STK,BN-IN,LN,1/8"" FAT,CHOIC,CKD,GRILLD",60.6,217,27.48,11.05,1.02,0,0,0,19,3.57,20,210,280,68,4.69,0.079,0.004,30.4,0,0.057,0.27,6.292,0.307,0.758,7,0,7,7,66.1,1.89,5,1,1,0,0,0,0,0,0.14,0.1,3,1.5,4.6,5.159,0.583,81,1
539,"BEEF,GROUND,PATTIES,FRZ,CKD,BRLD",53.91,295,23.05,21.83,0.9,0,0,0,11,2.42,19,174,305,77,4.84,0.077,0.022,21.5,0,0.03,0.176,5.305,0.545,0.435,21,0,21,21,74.6,2.65,0,0,0,0,0,0,0,0,0,0.2,8,2.3,8.805,9.358,0.656,84,1
540,"BEEF,CURED,CORNED BF,CND",57.72,250,27.1,14.93,2.9,0,0,0,12,2.08,14,111,136,897,3.57,0.064,0.014,42.9,0,0.02,0.147,2.43,0.626,0.13,9,0,9,9,89.2,1.62,0,0,0,0,0,0,0,0,0.15,0.2,10,1.6,6.18,5.96,0.63,86,2
541,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD",61.79,203,28.61,9.18,1.16,0,0,0,15,2.69,19,231,333,62,6,0.085,0.008,28.7,0,0.08,0.268,5.794,0.552,0.566,7,0,7,7,86.9,2.63,13,4,4,0,0,0,0,0,0.2,0.1,2,1.4,3.69,4.142,0.548,85,1
542,"BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",51.54,291,26.79,19.52,0.95,0,0,0,7,2.53,21,216,259,65,5.96,0.108,0.015,23.3,0,0.07,0.2,3.37,0.32,0.27,7,0,7,7,102,2.45,0,0,0,0,0,0,0,0,0.19,0.3,13,1.8,7.53,8.68,0.67,93,1
543,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",64.67,188,26.79,8.21,1.11,0,0,0,6,2.18,17,166,217,35,4.49,0.064,0.009,27.4,0,0.062,0.143,4.682,0.528,0.352,8,0,8,8,102,1.49,0,0,0,0,0,0,0,0,0.38,0.2,6,1.3,3.007,3.405,0.305,78,1
544,"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",66.75,174,27.53,6.2,0.81,0,0,0,6,2.3,18,174,226,36,4.73,0.068,0.01,31.1,0,0.062,0.155,4.945,0.542,0.369,9,0,9,9,104.8,1.52,0,0,0,0,0,0,0,0,0.35,0.1,4,1.3,2.209,2.537,0.247,74,1
545,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",60.33,212,29.33,9.67,1.26,0,0,0,22,1.89,25,229,368,61,5.33,0.089,0.01,31.9,0,0.079,0.141,7.807,0.578,0.614,9,0,9,9,111.7,1.73,0,0,0,0,0,0,0,0,0.42,0.2,7,1.5,3.754,3.959,0.359,88,1
546,"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",62.98,183,30.55,5.79,1.31,0,0,0,20,1.96,26,244,393,64,5.71,0.091,0.011,35.8,0,0.083,0.155,8.741,0.601,0.656,10,0,10,10,116.3,1.71,0,0,0,0,0,0,0,0,0.39,0.1,4,1.4,2.205,2.31,0.213,82,1
